year,gdp_per_capita_usd,education_expenditure_pct_gdp,under5_mortality_per1000,unemployment_pct,birth_rate,life_expectancy,fertility_rate,population_growth_pct,urban_population_pct,log_gdp,health_index,urbanization_growth,cluster_id,cluster_name
2000,5507.44892741089,3.85399007797241,76.3,6.07109591507097,21.8417237200594,67.7004022318196,2.71846485657425,1.35330175380903,46.6578520297892,8.614038361140675,60.07040223181959,47.28927355959796,1,B
2001,5400.26349946652,4.02031993865967,73.8,6.17964286789191,21.5513546935307,68.0522365473813,2.6806484775874,1.33483941265074,47.103084588263,8.59438818656568,60.672236547381296,47.73183512592135,1,B
2002,5535.40891099272,3.87853002548218,71.2,6.4239611271614,21.2415163101632,68.3332006706519,2.65374989301318,1.31302188872051,47.592846361312,8.619101358549594,61.21320067065191,48.21775085150115,1,B
2003,6127.69930801665,4.11728000640869,68.5,6.54128315055046,20.9577423542774,68.6068021272883,2.63004186260691,1.28867181196335,48.0843442587805,8.720737821753044,61.7568021272883,48.703993649210815,2,C
2004,6818.89843158842,3.94351494312287,66.0,6.41505072935728,20.7885821160863,68.862333560286,2.62140472428961,1.27457864888491,48.5834175301857,8.827599857997638,62.262333560286,49.202651396924054,2,C
2005,7292.45271257738,3.98487007617951,63.1,6.3373308613236,20.611348546748,69.1986838924939,2.6031626927636,1.2633713888996,49.0886911694704,8.894732336003143,62.8886838924939,49.70886364889078,2,C
2006,7804.16050561167,3.98218989372253,60.5,6.06390537668265,20.4410450632468,69.5711659081405,2.59528600149372,1.25697319167169,49.5891393380469,8.962540397198262,63.5211659081405,50.21246152550687,2,C
2014,10896.1450259007,4.39989495277404,44.4,5.98145366971233,19.6429749803532,71.8812963545335,2.50656100304628,1.22177268233914,53.3682139537679,9.296256109679799,67.4412963545335,54.02025221290734,0,A
2015,10153.5813025003,4.38715648651123,43.2,6.01095427091098,19.1127764882077,72.0950779627176,2.47787023274242,1.1944247960642,53.8313851558401,9.225680242489963,67.7750779627176,54.47436056820628,0,A
2016,10206.892281587,4.25407981872559,41.9,6.00325233850942,19.1736701834803,72.3452628492043,2.48109186788072,1.17520956388573,54.2899711297511,9.230916453176524,68.1552628492043,54.927992062698735,0,A
2017,10742.6504572914,4.08553981781006,40.6,5.87365760863904,18.6998150732498,72.5427521123259,2.45919481547587,1.15088441381759,54.7417769866207,9.282070203914662,68.4827521123259,55.371791565806504,3,D
2018,11285.4976396404,4.21256995201111,40.0,5.69907591640605,18.1784943083429,72.7840895013344,2.39733978310922,1.10341757519647,55.1889039960519,9.331362391092384,68.7840895013344,55.79786806230265,3,D
2019,11320.915884525,4.09531021118164,39.3,5.54316072134453,17.8174337575432,72.9797158843228,2.36055935171887,1.05596394923111,55.6302636409428,9.334495585185948,69.04971588432281,56.217699169853375,3,D
2020,10883.0760474916,4.33204984664917,38.7,6.89828248707274,17.2263755050161,72.2438502144183,2.29962426623588,1.01127220086579,56.0637640620957,9.2950560869691,68.3738502144183,56.63072132281466,3,D
2021,12236.6157434985,,38.1,6.20181362344765,16.938834920516,71.3277178927735,2.273168866153,0.862131713175486,56.4775413853993,9.412269744894019,67.5177178927735,56.96445218050464,3,D
